#S 1
#D #D Sat Nov 2 15:25:30 2024
#U blowerT 25.0
#V signal fl
#V reference tr
#V E0 24353.538239071648
#V refE0 24350.0
#V blowerT 25.0
#V J0 165668859985.5537
#L E               x
   2.470616e+04    -4.010978e-03
   2.470712e+04    -1.244912e-02
   2.470811e+04    -9.717336e-03
   2.470909e+04    -1.294903e-02
   2.471008e+04    -1.338116e-02
   2.471097e+04    -1.193863e-02
   2.471196e+04    -1.086013e-02
   2.471291e+04    -1.824478e-02
   2.471396e+04    -1.176792e-02
   2.471490e+04    -9.917999e-03
   2.471580e+04    -1.207798e-02
   2.471681e+04    -1.331462e-02
   2.471778e+04    -1.437930e-02
   2.471874e+04    -6.704968e-03
   2.471973e+04    -1.416699e-02
   2.472065e+04    -8.351268e-03
   2.472165e+04    -1.338071e-02
   2.472258e+04    -1.787993e-02
   2.472363e+04    -1.016092e-02
   2.472456e+04    -1.066531e-02
   2.472540e+04    -7.360588e-03
   2.472650e+04    -8.962912e-03
   2.472747e+04    -1.645473e-02
   2.472846e+04    -7.997558e-03
   2.472941e+04    -3.638353e-03
   2.473037e+04    -1.337524e-02
   2.473137e+04    -9.512129e-03
   2.473236e+04    -1.305197e-02
   2.473324e+04    -1.183867e-02
   2.473428e+04    -1.364408e-02
   2.473519e+04    -1.065082e-02
   2.473628e+04    -1.207403e-02
   2.473719e+04    -1.121666e-02
   2.473813e+04    -9.341774e-03
   2.473912e+04    -1.017313e-02
   2.474011e+04    -8.635962e-03
   2.474109e+04    -1.051413e-02
   2.474211e+04    -7.614919e-03
   2.474312e+04    -6.028346e-03
   2.474401e+04    -7.535732e-03
   2.474501e+04    -3.894549e-03
   2.474596e+04    -6.371881e-03
   2.474696e+04    -4.272378e-03
   2.474793e+04    +1.233663e-03
   2.474898e+04    -5.626662e-03
   2.474995e+04    -3.067616e-03
   2.475092e+04    -4.949125e-04
   2.475193e+04    -3.260983e-03
   2.475286e+04    -2.939604e-03
   2.475389e+04    -1.047143e-03
   2.475488e+04    -1.531771e-03
   2.475584e+04    +1.126363e-03
   2.475685e+04    +1.744063e-03
   2.475784e+04    +2.993958e-03
   2.475877e+04    -1.317902e-03
   2.475980e+04    +6.421466e-04
   2.476081e+04    +6.536329e-03
   2.476167e+04    -4.874657e-03
   2.476273e+04    -1.708437e-03
   2.476376e+04    +2.221358e-03
   2.476476e+04    +9.363889e-04
   2.476565e+04    +5.913502e-03
   2.476666e+04    +1.490692e-03
   2.476760e+04    +5.483312e-05
   2.476859e+04    +2.558302e-03
   2.476960e+04    +2.528632e-03
   2.477063e+04    +7.195225e-03
   2.477154e+04    +2.014027e-03
